Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
European Union,EUU,"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,6.68339367208058,6.77057986246895,6.80479398395009,6.80695090852005,6.81207822631625,6.84063871221516,6.88080831330955,6.93559047925894,7.00094631505515,7.06835398583422,7.13083437335189,7.18635267817511,7.24143824104018,7.29294230149713,7.33803362852264,7.37408266189735,7.38493792545228,7.38601725294419,7.3735812282276,7.34387723950027,7.29726220943051,7.23467117209154,7.15783633982757,7.07102627609677,6.98477533838652,6.9070701945817,6.85173093925912,6.80826240536002,6.77226962400046
European Union,EUU,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,7.3983698836229,7.42550374264734,7.47585373261925,7.54276497922016,7.61243732292956,7.67628488904912,7.73330314893787,7.78725538977376,7.83643246880135,7.87915214664487,7.91345651548755,7.93634822915335,7.95300255065361,7.95682985714686,7.94162596657855,7.9036368578001,7.81795167416578,7.71402151827037,7.60344776987888,7.50100454708497,7.41511933892794,7.33018466353361,7.25833142972522,7.19889360715217,7.14325858106407,7.08565637516411,7.03521810388752,6.98302546455706,6.93104024007402
European Union,EUU,"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,6.92662573871615,6.95799538550566,7.00700640197925,7.06873759131594,7.13266366013754,7.19202622175679,7.24514671689009,7.29564981666402,7.34167604556429,7.38098649514709,7.41163900899535,7.43361397828257,7.44843381364173,7.45021353181153,7.43399943883766,7.39689255865987,7.32261665839155,7.22965857515455,7.12828370382166,7.03314817050744,6.95393326930987,6.88398918301697,6.82715728784759,6.78178586927629,6.73850883991263,6.69139480478164,6.6489324160015,6.60312709970138,6.55501918960421
European Union,EUU,"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,7.8072586863676,7.85589367375443,7.90324049696088,7.94522971039927,7.97871322532911,8.0027211665101,8.01919319166825,8.02602714386766,8.01756860264522,7.98675068744703,7.93096154341817,7.86075078481454,7.7689883400572,7.66574869292285,7.56451179198911,7.47366421084583,7.37919267674324,7.30121590405514,7.23740489478856,7.18222545676111,7.13018029626931,7.06365168154542,6.99832316256022,6.93556832596674,6.87650524044169,6.82239907682447,6.78368240381836,6.75062050595372,6.7189014156586
European Union,EUU,"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,7.24309159821372,7.29071581795537,7.33795177302299,7.3807300544882,7.41538383844395,7.44032338691411,7.45597568796495,7.46248716884516,7.45496396595732,7.42752326458535,7.37858983247365,7.31578185028862,7.2331321675565,7.139461049991,7.04746769465519,6.9658280265867,6.88303849383111,6.81688551772138,6.76542862550615,6.72305761571285,6.68476781600208,6.63267459106349,6.58008726541433,6.52661849604493,6.47207094547183,6.4174869925275,6.3706657408192,6.32483926185154,6.27797793644686
European Union,EUU,"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,8.11357312537677,8.12063233731944,8.12013233680899,8.10513175059921,8.06747475677571,8.00366546882788,7.91699447150945,7.80385580595616,7.6755933113911,7.54813047093065,7.43096772517387,7.34249966822122,7.26588961268221,7.20056468200031,7.14110266772275,7.08391363603818,7.03030943125958,6.97876586860886,6.92672762042579,6.87484681813729,6.82355587994123,6.76607289499234,6.71672667188923,6.66966402749692,6.61634684157984,6.55182301578276,6.49060434190474,6.41608558558293,6.33109181638253
European Union,EUU,"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,7.47337577870654,7.48282966193589,7.48498790731397,7.47379147607312,7.44186247438819,7.3857064534223,7.30795944887979,7.20786912757363,7.09584093333094,6.98541402964718,6.88395317447781,6.80266198531605,6.73375409098418,6.67736671404104,6.62781628432968,6.58001014307177,6.53380020129824,6.49181278019305,6.4525972968212,6.41525914738273,6.37693553973399,6.31709390585892,6.2598945097402,6.20164454747717,6.13757743805366,6.06472539061786,5.99252628176957,5.9099039405147,5.82001131194455
European Union,EUU,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,8.10120654228698,8.00388533572812,7.88258471182411,7.74601760582116,7.60907366050543,7.48275393606966,7.36852436158962,7.26563642285316,7.17427732857211,7.09181862554524,7.01496410746345,6.96482195414023,6.91913800467395,6.87620323328204,6.83229170901249,6.78592803060075,6.74236248700607,6.69749604702761,6.64762488792976,6.588370082248,6.51576417431718,6.43255680441419,6.3433864025388,6.24958805787491,6.15445255126655,6.06021202027305,5.97482255699311,5.88584212660026,5.79668834026953
European Union,EUU,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,7.40258280961361,7.31681600530061,7.20898124312388,7.0870683511349,6.9643526948351,6.85010464531739,6.75107412504155,6.66204408335323,6.58222410862555,6.50836894959813,6.43683585202382,6.39233738084493,6.35140660882407,6.31205797912348,6.27102163104345,6.22656997765316,6.19415184991308,6.15839655957286,6.11405491850634,6.05702706421689,5.9844161347899,5.8987433781897,5.80812682858162,5.71344025882171,5.6180687294661,5.52409535571904,5.44061981439213,5.35702510641299,5.27590198927425
European Union,EUU,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,66.8579510332273,66.8275168732704,66.8294699454255,66.8550400248034,66.8918772451366,66.9361519843672,66.9609385201288,66.9964370186651,67.0401785578302,67.0875477820999,67.1301366875867,67.1546318289783,67.1763244790899,67.1957850656119,67.2155039283904,67.2356759271433,67.174579047349,67.1208654439917,67.0564387425947,66.9597504619968,66.8155168815823,66.5600197426113,66.292208470203,66.0078523456278,65.7100133745822,65.405882724468,65.1430573178195,64.8678004120167,64.5897775244725
